lastname	firstname	cp_name	tags	pseudonyms
Bissell	Robert	Robert Bissell	animals, surrealism, nature, whimsical, children's illustration	
Blacklock	William Kay	William Kay Blacklock	watercolor, landscape, scene	
Blackman	Charles	Charles Blackman	scene, vibrant, high contrast	
Blackmon	Julie	Julie Blackmon	scene, photography	
Blackshear	Thomas	Thomas Blackshear	melanin, character, scene	
Blackwood	Algernon	Algernon Blackwood	personality, dark	
Blair	Mary	Mary Blair	whimsical, high contrast, vibrant	
Blake	Peter	Peter Blake	pop art, collage	
Blake	Quentin	Quentin Blake	whimsical, watercolor	
Blake	William	William Blake	romanticism, dark, scene	
Blakelock	Ralph	Ralph Blakelock	romanticism, landscape	
Blanchard	Antoine	Antoine Blanchard	impressionism, streetscape	
Blanche	John	John Blanche	fantasy, detailed, sci-fi	
Blanding	Don	Don Blanding	art deco, high contrast	
Bleda	Elsa	Elsa Bleda	photography, dark, digital, streetscape	
Blish	Carolyn	Carolyn Blish	scene, landscape, watercolor	
Blossfeldt	Karl	Karl Blossfeldt	monochromatic, photography	
Bluhm	Norman	Norman Bluhm	abstract, expressionism, messy	
Blumenfeld	Erwin	Erwin Blumenfeld	photography, monochromatic, collage	
Bluth	Don	Don Bluth	clean, cartoon, whimsical, colorful	
Boccioni	Umberto	Umberto Boccioni	cubism,  colorful, vibrant, messy	
Bocek	Anna	Anna Bocek	portrait, vibrant, figurativism, messy	
Böcklin	Arnold	Arnold Böcklin	dark, landscape, symbolism, romanticism	
Bofill	Ricardo	Ricardo Bofill	architecture, angular	
Bogle	Lee	Lee Bogle	portrait, fantasy	
Boldini	Giovanni	Giovanni Boldini	portrait, scene, impressionism	
Bolland	Brian	Brian Bolland	comics	
Bolles	Enoch	Enoch Bolles	portrait, character, scene, art nouveau	
Boltanski	Christian	Christian Boltanski	photography, installation	
Bomberg	David	David Bomberg	cubism, vibrant	
Bone	Tami	Tami Bone	dark, photography, monochromatic	
Bonestell	Chesley	Chesley Bonestell	sci-fi, space	
Bonheur	Rosa	Rosa Bonheur	animals, scene, realism	
Bonhomme	Olivier	Olivier Bonhomme	surrealism, vibrant, scene, colorful	
Bonington	Richard Parkes	Richard Parkes Bonington	romanticism, landscape	
Bonnard	Pierre	Pierre Bonnard	impressionism,	
Bontecou	Lee	Lee Bontecou	sculpture, abstract	
Booth	Franklin	Franklin Booth	art nouveau, detailed	
Bordalo	Artur	Artur Bordalo	street art, graffiti, messy	Bordalo II
Borelli da Caluso	Guido	Guido Borelli da Caluso	cityscape, realism	
Borgeaud	Marius	Marius Borgeaud	impressionism, scene	
Borremans	Michael	Michael Borremans	low contrast, surrealism, scene, portrait, still life	
Borromini	Francesco	Francesco Borromini	architecture, baroque	
Bors	Matt	Matt Bors	comics, flat colors, clean	
Borsi	Flora	Flora Borsi	photographer, surrealism, portrait	
Bosch	Hieronymus	Hieronymus Bosch	whimsical, renaissance, detailed	
Bosma	Sam	Sam Bosma	cartoon, detailed, comics, fantasy, character	
Bosschaert	Ambrosius	Ambrosius Bosschaert	still life, baroque, flowers	
Bosschart	Johfra	Johfra Bosschart	whimsical, fantasy	
Botero	Fernando	Fernando Botero	figurativism, scene, portrait	
Botticelli	Sandro	Sandro Botticelli	renaissance	
Boucher	François	François Boucher	baroque, scene	
Boudin	Eugène	Eugène Boudin	landscape, impressionism, scene	
Boughton	George Henry	George Henry Boughton	landscape, scene	
Bouguereau	William-Adolphe	William-Adolphe Bouguereau	character, realism, portrait	
Boulet	Susan Seddon	Susan Seddon Boulet	fantasy, magic realism	
Boulle	Andre-Charles	Andre-Charles Boulle	baroque, romanticism, detailed	
Bourgeois	Louise	Louise Bourgeois	sculpture, installation	
Bouvattier	Annick	Annick Bouvattier	portrait, nudity	
Bowater	Charlie	Charlie Bowater	fantasy, digital, portait, character	
Bowers	David Michael	David Michael Bowers	surrealism, portrait, scene, magic realism	
Boyd	Arthur	Arthur Boyd	impressionism, expressionism	
Boyle	Eleanor Vere	Eleanor Vere Boyle	detailed, watercolor, whimsical	
Brack	John	John Brack	realism, scene	
Bradley	Noah	Noah Bradley	dark, landscape, fantasy	
Bramley	Frank	Frank Bramley	impressionism, scene	
Brancusi	Constantin	Constantin Brancusi	sculpture, abstract, cubism	
Brandt	Bill	Bill Brandt	photography, monochromatic, scene	
Braque	Georges	Georges Braque	angular, fauvism	
Brassaï Brassaï	photography, monochromatic	
Bratby	John	John Bratby	high contrast, expressionism, realism	
Brauer	Bill	Bill Brauer	figurativism, scene, character	
Brauner	Victor	Victor Brauner	whimsical, abstract, surrealism	
Brayne	David	David Brayne	low contrast, whimsical, scene	
Brendekilde	Hans Andersen	Hans Andersen Brendekilde	scene, landscape, luminism, impressionism	
Breslauer	Marianne	Marianne Breslauer	photography, monochromatic	
Breton	Jules	Jules Breton	realism, landscape, scene	
Breuer	Marcel	Marcel Breuer	bauhaus, architecture	
Briclot	Aleksi	Aleksi Briclot	fantasy, dark	
Bridgman	Frederick Arthur	Frederick Arthur Bridgman	scene, portrait	
Briggs	Austin	Austin Briggs	cartoon, detailed, scene, impressionism	
Briggs	Raymond	Raymond Briggs	cartoon, whimsical	
Brigman	Anne	Anne Brigman	photography, monochromatic, dark, nudity	
Briscoe	Mark	Mark Briscoe	impressionism, detailed, expressionism	
Britto	Romero	Romero Britto	colorful, vibrant, high contrast, stained glass	
Brohm	Joachim	Joachim Brohm	photography, landscape, streetscape, realism	
Brom	Gerald	Gerald Brom	dark, fantasy	
Bronzino Bronzino	renaissance, portrait, scene	
Brood	Herman	Herman Brood	pop art, vibrant	
Brooks	Mark	Mark Brooks	comics, detailed, fantasy, sci-fi	
Brooks	Romaine	Romaine Brooks	low contrast, symbolism, portrait	
Brooks	Troy	Troy Brooks	surrealism, portrait, vibrant	
Brosh	Allie	Allie Brosh	comics, high contrast, flat colors	
Brown	Cecily	Cecily Brown	abstract, figurativism, messy	
Brown	Ford Madox	Ford Madox Brown	realism, romanticism, scene, portrait	
Brown	Lucy Madox	Lucy Madox Brown	realism, romanticism, scene, portrait	
