lastname	firstname	cp_name	tags	pseudonyms
Goya	Francisco	Francisco Goya	romanticism, portrait, scene	
Graafland	Scarlett Hooft	Scarlett Hooft Graafland	photography, landscape, high contrast	
Graber	Carrie	Carrie Graber	figurativism, scene, impressionism	
Grandville	J. J.	J. J. Grandville	detailed, scene	
Granov	Adi	Adi Granov	comics, detailed, character	
Grasset	Eugène	Eugène Grasset	art nouveau, stained glass, scene	
Grasso	Laurent	Laurent Grasso	surrealism, nature, installation	
Graverol	Jane	Jane Graverol	surrealism, scene	
Graves	Abbott Fuller	Abbott Fuller Graves	impressionism, scene, still life	
Graves	Mab	Mab Graves	surrealism, scene, portrait	
Gray	Eileen	Eileen Gray	architecture, angular, bauhaus	
Greasley	Laurie	Laurie Greasley	comics, clean, high contrast	
Greenaway	Kate	Kate Greenaway	art nouveau, children's illustration	
Greenfield	Lois	Lois Greenfield	photography, scene	
Gregoire	Kenne	Kenne Gregoire	realism, surrealism, scene	
Grelle	Martin	Martin Grelle	animals, scene, landscape	
Grey	Alex	Alex Grey	detailed, psychedelic, vibrant	
Gric	Peter	Peter Gric	surrealism, dark, detailed	
Griffiths	Carne	Carne Griffiths	messy, portrait	
Grigoriev	Boris	Boris Grigoriev	expressionism, cubism, fauvism	
Grimly	Gris	Gris Grimly	dark, whimsical, children's illustration	
Grimm	Brothers	Brothers Grimm	art nouveau, children's illustration	
Grimshaw	John Atkinson	John Atkinson Grimshaw	landscape, streetscape, romanticism, symbolism, impressionism	
Grimwood	Tracie	Tracie Grimwood	colorful, scene, whimsical, children's illustration	
Grindat	Henriette	Henriette Grindat	photography, dark, monochromatic	
Gris	Juan	Juan Gris	cubism, expressionism, angular	
Groening	Matt	Matt Groening	cartoon, vibrant	
Groh	Boris	Boris Groh
Gropius	Walter	Walter Gropius	bauhaus,	
Gropper	William	William Gropper	expressionism, scene	
Gross	Alex	Alex Gross	portrait, surrealism, realism, whimsical	
Grossmith	Lucy	Lucy Grossmith
Grosz	George	George Grosz	expressionism, scene	
Grummett	Tom	Tom Grummett
Grünewald	Matthias	Matthias Grünewald	renaissance	Gothart, Neithardt
Guanzhong	Wu	Wu Guanzhong
Guardi	Francesco	Francesco Guardi
Guay	Rebecca	Rebecca Guay	watercolor, digital, fantasy	
Guay	Sam	Sam Guay
Guayasamin	Oswaldo	Oswaldo Guayasamin
Guercino Guercino
Guibert	Hervé	Hervé Guibert	photographer, monochromatic, high contrast, portrait, scene	
Guichard-Bunel	Jeannette	Jeannette Guichard-Bunel	surrealism, figurativism, portrait	
Guidice	Rick	Rick Guidice	space, sci-fi	
Guillaumin	Armand	Armand Guillaumin	impressionism, fauvism, landscape	
Guillemin	Grégoire	Grégoire Guillemin
Guillory	Rob	Rob Guillory
Guillot	Laure Albin	Laure Albin Guillot
Guillou	Alfred	Alfred Guillou
Guimard	Hector	Hector Guimard
Guo-Qiang	Cai	Cai Guo-Qiang
Gupta	Subodh	Subodh Gupta	sculpture, installation, photography	
Gurney	James	James Gurney	fantasy, landscape, scene,	
Guston	Philip	Philip Guston	abstract, expressionism	
Guthrie	Sir James	Sir James Guthrie	realism, impressionism, scene	
Guttuso	Renato	Renato Guttuso	expressionism, realism	
Guyton	Wade	Wade Guyton
Gwathmey	Charles	Charles Gwathmey	architecture, high contrast, angular, flat colors,	
Haacke	Hans	Hans Haacke	installation, photography, sculpture	
Haas	Ernst	Ernst Haas	photography, streetscape, messy	
Hacker	Arthur	Arthur Hacker	impressionism, romanticism, scene	
Hadid	Zaha	Zaha Hadid	architecture, angular	
Haeckel	Ernst	Ernst Haeckel	biological, detailed, surrealism	
Haenraets	Willem	Willem Haenraets	watercolor, landscape, impressionism	
Hagan	Robert	Robert Hagan	impressionism, landscape, scene, vibrant	
Hajjaj	Hassan	Hassan Hajjaj
Hall	Sydney Prior	Sydney Prior Hall	scene, portrait, realism	
Hals	Frans	Frans Hals	baroque	
Halsman	Philippe	Philippe Halsman	photography, monochromatic, high contrast, portrait	
Hamaguchi	Mao	Mao Hamaguchi	portrait, surrealism	
Hambling	Maggi	Maggi Hambling	portrait, expressionism	
Hamilton	Richard	Richard Hamilton	collage, scene	
Hammershoi	Vilhelm	Vilhelm Hammershoi	low contrast, scene, impressionism, symbolism	
Hammick	Tom	Tom Hammick	landscape, figurativism, clean, vibrant	
Hammons	David	David Hammons	installation, abstract, melanin	
Hang	Ren	Ren Hang	nudity, photography, character, portrait	
Hanks	Steve	Steve Hanks	watercolor, character, scene, realism, impressionism	
Hanson	Erin	Erin Hanson	colorful, vibrant, impressionism, landscape	
Hanuka	Asaf	Asaf Hanuka	cartoon, comics	
Hanuka	Tomer	Tomer Hanuka	cartoon, comics	
Hardy	Bert	Bert Hardy	photography, monochromatic, scene	
Hardy	David A.	David A. Hardy	space, landscape, sci-fi	
Hardy	Heywood	Heywood Hardy	romanticism, animals, scene	
Haring	Keith	Keith Haring	graffiti, street art, expressionism, flat colors, high contrast, vibrant	
Harper	Charley	Charley Harper	vibrant, flat colors, animals	
Harris	Henrietta	Henrietta Harris
Harris	John	John Harris	dark, sci-fi, space, messy	
Harris	Lawren	Lawren Harris	landscape, clean,	
Harrison	Florence	Florence Harrison	art nouveau, children's illustration, romanticism	
Harrison	L. Birge	L. Birge Harrison	landspape, low contrast, impressionism	
Hartley	Marsden	Marsden Hartley	landscape, portrait, primitivism, expressionism	
Hartung	Hans	Hans Hartung	abstract, dark	
Harvey	Harold	Harold Harvey	watercolor, landscape, impressionism, scene	
Hase	Ryohei	Ryohei Hase	magic realism, surrealism, fantasy, digital	
Haseltine	William Stanley	William Stanley Haseltine	luminism, landscape	
Hashimoto	Jacob	Jacob Hashimoto	angular, abstract, installation	
Hassam	Childe	Childe Hassam	impressionism	
Hatke	Ben	Ben Hatke	cartoon, children's illustration, character	
Hatoum	Mona	Mona Hatoum	installation, sculpture, photography	
Hattori	Naoto	Naoto Hattori	surrealism, detailed	
Hawkes	Pam	Pam Hawkes	figurativism, portrait	
Hawkesworth	Jamie	Jamie Hawkesworth	photography, portrait, scene	
Hawkins	Louis Weldon	Louis Weldon Hawkins
Hayashida	Q	Q Hayashida
Hayez	Francesco	Francesco Hayez
Haygarth	Stuart	Stuart Haygarth	installation, vibrant, angular, colorful	
Hayter	Stanley William	Stanley William Hayter	abstract, expressionism, surrealism	
Heade	Martin Johnson	Martin Johnson Heade	still life, landscape, seascape	
Heathcote	Peregrine	Peregrine Heathcote	romanticism, realism	
Heatherwick	Thomas	Thomas Heatherwick	architecture, texture	
Heckel	Erich	Erich Heckel	expressionism, landscape, portrait	
Heda	Willem Claesz.	Willem Claesz. Heda	still life, baroque	
Hedley	Paul	Paul Hedley	impressionism, figurativism, scene	
Hefferan	Rob	Rob Hefferan
Hegarty	Valerie	Valerie Hegarty	magic realism, installation, surrealism	
Heiden	Jamie	Jamie Heiden
Heighton	Brent	Brent Heighton
Heilmann	Mary	Mary Heilmann	abstract, vibrant, high contrast	
Hein	Jeppe	Jeppe Hein
Heizer	Michael	Michael Heizer	installation, landscape, angular	
Hejduk	John	John Hejduk	architecture, cubism	
Helnwein	Gottfried	Gottfried Helnwein	photography, portrait, installation	
Henderson	Steve	Steve Henderson	impressionism, realism, character, scene	
Hendricks	Barkley L.	Barkley L. Hendricks	melanin, realism, portrait	
Henle	Fritz	Fritz Henle	photography, monochromatic	
Henri	Robert	Robert Henri
Henry	Paul	Paul Henry	landscape impressionism, watercolor	
Henson	Bill	Bill Henson	photography, dark, landscape, portrait	
Henson	Mark	Mark Henson
Hepworth	Barbara	Barbara Hepworth	abstract, sculpture	
Herbin	Auguste	Auguste Herbin
Hergé Hergé
Heron	Patrick	Patrick Heron	abstract, expressionism, figurativism	
Herrera	Carolina	Carolina Herrera	photography, character	
Herrero	Lowell	Lowell Herrero
Herriman	George	George Herriman	cartoon, comics, messy	
Hettinger	David	David Hettinger
Heward	Prudence	Prudence Heward	portrait, abstract, expressionism	
Hewett	Ryan	Ryan Hewett	vibrant, abstract, cubism, portrait	
Hewlett	Jamie	Jamie Hewlett	cartoon, character,	
Hewton	Randolph Stanley	Randolph Stanley Hewton	landcape, scene, art nouveau, impressionism	
Heysen	Nora	Nora Heysen	impressionism, portrait, still life	
Hicks	George Elgar	George Elgar Hicks
Hicks	Petrina	Petrina Hicks
Hicks	Sheila	Sheila Hicks
Hideyoshi	Lorenz	Lorenz Hideyoshi	digital, scene, sci-fi	
Hido	Todd	Todd Hido
Hildebrandt	Brothers	Brothers Hildebrandt	fantasy, vibrant, clean	
Hildebrandt	Greg	Greg Hildebrandt	fantasy, vibrant, clean	
Hildebrandt	Tim	Tim Hildebrandt	fantasy, vibrant, clean	
Hillenburg	Stephen	Stephen Hillenburg
Hilliard	Nicholas	Nicholas Hilliard
Hillier	Dan	Dan Hillier	detailed, monochromatic, high contrast, portrait	
Hillier	Steve	Steve Hillier	landscape, nature	
Hirano	Miho	Miho Hirano	portrait, magic realism	
Hirémy-Hirschl	Adolf	Adolf Hirémy-Hirschl	art nouveau, symbolism	
Hironaka	Harumi	Harumi Hironaka	vibrant, portrait, manga, watercolor	
Hiroshige Hiroshige
Hirsch	Alex	Alex Hirsch
Hirshfield	Morris	Morris Hirshfield
Hirst	Damien	Damien Hirst
Hitch	Bryan	Bryan Hitch
Ho	Fan	Fan Ho
Hobbie	Jocelyn	Jocelyn Hobbie
Hoch	Hannah	Hannah Hoch	collage, surrealism, cubism	
Hockney	David	David Hockney	pools, cubism, vibrant, colorful	
Hocks	Teun	Teun Hocks
Hodas	Filip	Filip Hodas	digital, 3D, scene	
Hodgkin	Howard	Howard Hodgkin	abstract, vibrant	
Hodler	Ferdinand	Ferdinand Hodler	symbolism, character, portrait	
Hoffman	Martina	Martina Hoffman	abstract, expressionism	
Hofmann	Hans	Hans Hofmann
Hogarth	William	William Hogarth	baroque, scene	
Hoisel	Tiago	Tiago Hoisel
Hokusai	Katsushika	Katsushika Hokusai	ukiyo-e, high contrast	
Holbein the Elder	Hans	Hans Holbein the Elder
Holl	Frank	Frank Holl	realism, scene, portrait	
Holl	Steven	Steven Holl	watercolor, architecture	
Holloway	Zena	Zena Holloway
Holme III	Peter	Peter Holme III	photography, landscape,	
Holsoe	Carl	Carl Holsoe	realism, scene	
Holtz	Tim	Tim Holtz
Homer	Winslow	Winslow Homer	landscape, realism, seascape, impressionism	
Hopkins	Thurston	Thurston Hopkins	photography,	
Hopper	Edward	Edward Hopper	realism, impressionism, scene	
Hopper	Erica	Erica Hopper
Horkey	Aaron	Aaron Horkey	fantasy, detailed, comics	
Horley	Alex	Alex Horley	fantasy, dark, character	
Horn	Roni	Roni Horn
Horna	Kati	Kati Horna	photography, monochromatic	
Hornel	Edward Atkinson	Edward Atkinson Hornel	impressionism, scene,	
Horsley	Ralph	Ralph Horsley	sci-fi, fantasy, whimsical	
Horst	Horst P.	Horst P. Horst
Horta	Victor	Victor Horta
Howe	John	John Howe	fantasy, dark, detailed	
Howland	Meghan	Meghan Howland	portrait, surrealism, figurativism	
Howson	Peter	Peter Howson	gore, nudity, expressionism, figurativism, detailed	
Hoyland	John	John Hoyland	abstract, vibrant	
Huanca	Donna	Donna Huanca	abstract	
Hughes	Arthur	Arthur Hughes	romanticism, scene, portrait	
Hughes	Edward Robert	Edward Robert Hughes	romanticism, scene, character, fantasy	
Hugo	Pieter	Pieter Hugo	photography, portrait	
Hundertwasser	Friedensreich Regentag Dunkelbunt	Friedensreich Regentag Dunkelbunt Hundertwasser	vibrant, colorful, messy	Hundertwasser
Hunt	William Henry	William Henry Hunt	watercolor, portrait, scene, still life	
Hunt	William Holman	William Holman Hunt	romanticism, scene, portrait	
Hurtado	Fabio	Fabio Hurtado	cubism, scene, portrait	
Husain	M.F.	M.F. Husain
HUSH HUSH
Hussar	Michael	Michael Hussar
Hutchinson	Nicholas Hely	Nicholas Hely Hutchinson
Hutter	Michael	Michael Hutter	surrealism, detailed, fantasy, sci-fi	
Hutton	Kurt	Kurt Hutton	photography,	
Huynh	Duy	Duy Huynh	surrealism, magic realism	
Hyde	Catherine	Catherine Hyde	symbolism, magic realism, figurativism	
Hyde	Doug	Doug Hyde	whimsical, children's illustration, vibrant	
Icart	Louis	Louis Icart	art deco, impressionism, low contrast	
Ikeda	Ryoji	Ryoji Ikeda	high contrast, monochromatic, angular	
Immonen	Stuart	Stuart Immonen	comics, scene, character	
Inceoglu	Ismail	Ismail Inceoglu	digital, landscape, scene	
Indiana	Robert	Robert Indiana	graphic design, vibrant, pop art	
Ingels	Bjarke	Bjarke Ingels	architecture, angular	
Ingres	Jean Auguste Dominique	Jean Auguste Dominique Ingres	romanticism, portrait, scene	
Inness	George	George Inness	landscape, dark, impressionism, realism	
Inshaw	David	David Inshaw	landscape, figurativism	
Ionut	Caras	Caras Ionut	magic realism, surrealism, photography	
Irwin	Robert	Robert Irwin	installation, angular	
Ishinomori	Shotaro	Shotaro Ishinomori	cartoon, anime, manga, high contrast	
Ito	Junji	Junji Ito	horror, manga, portrait, monochromatic, detailed	
Ito	Toyo	Toyo Ito	architecture	
Itten	Johannes	Johannes Itten	expressionism, colorful, bauhaus, abstract, cubism	
Iwerks	Ub	Ub Iwerks	cartoon, whimsical, high contrast	
Izu	Kenro	Kenro Izu	photography, monochromatic	
Jaar	Alfredo	Alfredo Jaar	installation, light	
Jacklin	Bill	Bill Jacklin	abstract, impressionism, figurativism	
Jacrot	Christophe	Christophe Jacrot	streetscape, cityspape, photography	
Jaems	Daniel	Daniel Jaems	nudity, photography	
Janmot	Louis	Louis Janmot	romanticism, symbolism, scene, character, portrait	
Janson	Klaus	Klaus Janson	comics, high contrast, vibrant	
Janssens	Frieke	Frieke Janssens	photography, portrait	
Jansson	Alexander	Alexander Jansson	fantasy, whimsical, dark	
Jansson	Tove	Tove Jansson	cartoon, children's illustration	
Jasinski	Aaron	Aaron Jasinski	surrealism, pop art, detailed, colorful, portrait	
Jean	James	James Jean	fantasy, detailed 	
Jeffers	Oliver	Oliver Jeffers	cartoon, children's illustration	
Jeffries	Lee	Lee Jeffries	portrait, monochromatic, high contrast	
Jensen	Georg	Georg Jensen	art nouveau, sculpture	
Jevtic	Bojan	Bojan Jevtic	photography, figurativism, messy, portrait	
Jewett	Ellen	Ellen Jewett	sculpture, surrealism, detailed, digital	
Jia	Ruan	Ruan Jia	digital, portrait, fantasy, dark	
Jiaying	He	He Jiaying	figurativism, ukiyo-e	
Jimenez	Phil	Phil Jimenez	comics, character	
Jingna	Zhang	Zhang Jingna	fashion, photography	
Joffe	Chantal	Chantal Joffe	portrait, high contrast, figurativism, expressionism	
Joffe	Constantin	Constantin Joffe	fashion, photography	
Johanna	Martine	Martine Johanna	portrait, figurativism	
Johansson	Erik	Erik Johansson	photography, landscape, surrealism	
John	Augustus	Augustus John	impressionism, portrait	
John	Gwen	Gwen John	portrait, watercolor	
Johns	Geoff	Geoff Johns	comics, detailed	
Johns	Jasper	Jasper Johns	abstract, expressionism, pop art	
Johnson	Eastman	Eastman Johnson	realism, portrait, landscape	
Johnson	Richard S.	Richard S. Johnson	impressionism, portrait, scene	
Johnston	Alfred Cheney	Alfred Cheney Johnston	photography, monochromatic, portrait	
Johnstone	Dorothy	Dorothy Johnstone	landscape, portrait, figurativism	
Jones	Android	Android Jones	digital, psychedelic,	
Jones	Erik	Erik Jones	vibrant, colorful, portrait, cubism, abstract	
Jones	Francis Coates	Francis Coates Jones	impressionism, scene	
Jones	Gerald Harvey	Gerald Harvey Jones	impressionism, streetscape	
Jones	Jeffrey Catherine	Jeffrey Catherine Jones	fantasy, figurativism	
Jones	Peter Andrew	Peter Andrew Jones	sci-fi, fantasy, space	
Jordaens	Jacob	Jacob Jordaens	baroque, scene	
Jorn	Asger	Asger Jorn	primitivism, abstract, expressionism	
Jover	Loui	Loui Jover	portrait, abstract, collage, messy	
Judd	Amy	Amy Judd	photorealism, portrait, surrealism, nature	
Judd	Donald	Donald Judd	angular, installation	
Judge	Mike	Mike Judge	cartoon	
Julien	Isaac	Isaac Julien	installation, melanin	
Jullien	Jean	Jean Jullien	high contrast, cartoon, flat colors	
Jung	Matthias	Matthias Jung	architecture, surrealism, digital	
Jung Gi	Kim	Kim Jung Gi	character, detailed, monochromatic	
Jurgens	Mandy	Mandy Jurgens	portrait, character, photorealism	
Jusko	Joe	Joe Jusko	comics, fantasy	
Kago	Shintaro	Shintaro Kago	gore, manga, portrait	
Kahila	Janne	Janne Kahila
Kahlo	Frida	Frida Kahlo	surrealism, portrait, vibrant	
Kahn	Louis	Louis Kahn	architecture	
Kahraman	Hayv	Hayv Kahraman	figurativism, portrait, clean	
Kairiukstis	Vytautas	Vytautas Kairiukstis	abstract	
Kalf	Willem	Willem Kalf	still life, baroque	
Kaluta	M.W.	M.W. Kaluta	detailed, fantasy, whimsical	
Kander	Nadav	Nadav Kander	photography, portrait, landscape	
Kandinsky	Wassily	Wassily Kandinsky	bauhaus,expressionism, abstract, vibrant	
Kaneko	Jun	Jun Kaneko	abstract, sculpture, vibrant	
Kaphar	Titus	Titus Kaphar	melanin, portrait	
Kar-wai	Wong	Wong Kar-wai
Karcz	Michal	Michal Karcz	landscape, fantasy, sci-fi, photography	
Käsebier	Gertrude	Gertrude Käsebier
Kashin	Wadim	Wadim Kashin	messy, dark, digital	
Kasparavicius	Kestutis	Kestutis Kasparavicius
Katsuya	Terada	Terada Katsuya	manga, fantasy, portrait	
Katz	Alex	Alex Katz
Kaur	Rupi	Rupi Kaur	figurativism, high contrast	
Kawasaki	Audrey	Audrey Kawasaki	portrait, art nouveau, manga, magic realism	
Kawase	Hasui	Hasui Kawase	ukiyo-e	
Kawauchi	Rinko	Rinko Kawauchi	photography, low contrast	
Keane	Glen	Glen Keane	cartoon, Disney, children's illustration, character	
Keane	Margaret	Margaret Keane	cartoon, portrait	
Keathley	Mark	Mark Keathley	landscape, magic realism	
Kechun	Zhang	Zhang Kechun	photography, low contrast	
Keever	Kim	Kim Keever	dark, cloudscape	
Kehoe	Andy	Andy Kehoe	dark, surrealism, magic realism, whimsical	
Keller	Ferdinand	Ferdinand Keller	landscape, symbolism,	
Kelley	Mike	Mike Kelley	installation, textile, abstract	
Kelly	Ellsworth	Ellsworth Kelly	abstract, flat colors	
Kelly	Ken	Ken Kelly	fantasy, character, scene	
Kelly	Walt	Walt Kelly	comics, cartoon, whimsical	
Kemp	Peter	Peter Kemp	photography, scene, character	
Kennington	Thomas Benjamin	Thomas Benjamin Kennington	realism, portrait, scene	
Kenny	Alan	Alan Kenny	figurativism, cubism, scene	
Kensett	John Frederick	John Frederick Kensett	landscape, luminism, 	
Kent	Rockwell	Rockwell Kent	landscape, monochromatic, high contrast, symbolism	
Kentridge	William	William Kentridge	messy, monochromatic	
Kepes	György	György Kepes	abstract, photography, monochromatic	
Kern	Geof	Geof Kern	photography, fashion, monochromatic	
Kerstens	Hendrik	Hendrik Kerstens	photography, portrait, dark, fashion	
Kertész	André	André Kertész
Kesinger	Brian	Brian Kesinger	cartoon, whimsical	
Ketner	Jeremiah	Jeremiah Ketner	portrait, vibrant, whimsical, colorful	
Keyes	Josh	Josh Keyes
Khakhar	Bhupen	Bhupen Khakhar	colorful	
Khare	Adonna	Adonna Khare	monochromatic, detailed, surrrealism, animals	
Khnopff	Fernand	Fernand Khnopff	symbolism, portrait, scene	
Kiefer	Anselm	Anselm Kiefer	abstract, expressionism	
Kielland	Kitty Lange	Kitty Lange Kielland	landscape, realism	
Kieth	Sam	Sam Kieth	messy, detailed	
Kikuchi	Hideyuki	Hideyuki Kikuchi	horror, fantasy, manga, anime	
Kilburne	George Goodwin	George Goodwin Kilburne	scene, watercolor, romanticism	
Killion	Tom	Tom Killion	landscape, ukiyo-e, vibrant	
Kinkade	Thomas	Thomas Kinkade	portrait, luminism, impressionism	
Kinney	Jeff	Jeff Kinney	cartoon, whimsical	
Kippenberger	Martin	Martin Kippenberger	figurativism, expressionism, messy, abstract	
Kirby	Jack	Jack Kirby	comics, sci-fi	
Kirchner	Ernst Ludwig	Ernst Ludwig Kirchner	expressionism, portrait, scene	
Kirchner	Raphael	Raphael Kirchner
Kisling	Moise	Moise Kisling
Kittelsen	Theodor	Theodor Kittelsen
Kiuchi	Tatsuro	Tatsuro Kiuchi	landscape, scene, digital, vibrant, flat colors	
Kjartansson	Ragnar	Ragnar Kjartansson
Klarwein	Mati	Mati Klarwein	surrealism, psychedelic, magic realism, melanin	
Klassen	Jon	Jon Klassen	clean, watercolor, children's illustration	
Klee	Paul	Paul Klee	bauhaus, expressionism, abstract, surrealism	
Klein	Steven	Steven Klein	photography, scene, character	
Klein	William	William Klein	photography, monochromatic, abstract	
Klein	Yves	Yves Klein	abstract, monochromatic, expressionism	
Kleiner	Carl	Carl Kleiner	abstract, surrealism, portrait, scene, graphic design	
Kley	Heinrich	Heinrich Kley	messy, cartoon, high contrast	
Klimczak	Dariusz	Dariusz Klimczak	photography, surrealism, monochromatic	
Klimt	Gustav	Gustav Klimt	art nouveau, symbolism	
Kline	Franz	Franz Kline	abstract, expressionism	
Knab	Ferdinand	Ferdinand Knab	landscape, architecture, detailed	
Knaths	Karl	Karl Knaths	abstract, cubism	
Kneller	Godfrey	Godfrey Kneller	baroque, portrait	
Kngwarreye	Emily Kame	Emily Kame Kngwarreye	abstract, expressionism, vibrant	
Knight	Chad	Chad Knight	detailed, vibrant, digital, surrealism	
Knight	Daniel Ridgway	Daniel Ridgway Knight	realism, nature, scene	
Knight	Kris	Kris Knight
Knight	Louis Aston	Louis Aston Knight
Knight	Nick	Nick Knight	fashion, photography, portrait	
Knights	Winifred	Winifred Knights
Knoop	Helene	Helene Knoop	portrait, character, figurativism	
Knorr	Karen	Karen Knorr	photography, architecture, whimsical	
Koch	Phil	Phil Koch	landscape, photography, vibrant	
Kohn	Andre	Andre Kohn	figurativism, impressionism	
Koike	Kazuo	Kazuo Koike	manga, comics, fantasy	
Kojima	Ayami	Ayami Kojima	monochromatic, dark, detailed, character	
Kokoschka	Oskar	Oskar Kokoschka	expressionism, portrait, landscape	
Kolins	Scott	Scott Kolins
Kollwitz	Käthe	Käthe Kollwitz	messy, portrait, monochromatic, high contrast	
Kon	Satoshi	Satoshi Kon	whimsical, high contrast, fantasy, manga, anime	
Koons	Jeff	Jeff Koons	sculpture, pop art, vibrant	
Kopera	Tomasz Alen	Tomasz Alen Kopera
Korovin	Konstantin	Konstantin Korovin	impressionism, scene	
Koson	Ohara	Ohara Koson
Kossoff	Leon	Leon Kossoff	expressionism, scene	
Kotak	Bella	Bella Kotak	photography, fashion, portrait	
Kowch	Andrea	Andrea Kowch	magic realism, dark, scene, portrait	
Kozloff	Joyce	Joyce Kozloff
Krasner	Lee	Lee Krasner	expressionism, abstract, high contrast	
Kretschmer	Hugh	Hugh Kretschmer	photography, surrealism, cloudscape,	
Kreyn	Maria	Maria Kreyn	figurativism, romanticism,	
Kruger	Barbara	Barbara Kruger	high contrast, graphic design,	
Krull	Germaine	Germaine Krull	photography,	
Kubert	Joe	Joe Kubert
Kubicki	Jarek	Jarek Kubicki
Kubin	Alfred	Alfred Kubin	dark, surrealism, whimsical	
Kubrick	Stanley	Stanley Kubrick	photography, personality	
Kuczynski	Pawel	Pawel Kuczynski	surrealism	
Kuma	Kengo	Kengo Kuma	architecture, angular	
Kunisada Kunisada	ukiyo-e	
Kuniyoshi	Utagawa	Utagawa Kuniyoshi	ukiyo-e	
Kuniyoshi	Yasuo	Yasuo Kuniyoshi	expressionism, scene	
Kunkle	Brad	Brad Kunkle	photography, portrait, dark, scene	
Künstler	Mort	Mort Künstler	scene, detailed, realism	
Kupka	Frantisek	Frantisek Kupka	cubism, abstract	
Kurasov	Georgy	Georgy Kurasov
Kurzgesagt Kurzgesagt	vibrant, graphic design, digital	
Kusama	Yayoi	Yayoi Kusama	vibrant, polka dots, installation, fashion	
Kush	Vladimir	Vladimir Kush	whimsical, surrealism, scene	
Kustanovich	Dmitry	Dmitry Kustanovich	messy, detailed, impressionism	
Kuvshinov	Ilya	Ilya Kuvshinov	vibrant, digital, fantasy, scene, manga	
Kyōsai	Kawanabe	Kawanabe Kyōsai	ukiyo-e	
La Farge	John	John La Farge	art nouveau, symbolism, landscape, watercolor	
LaChapelle	David	David LaChapelle	surrealism, pop art, photography, vibrant	
Lacombe	Georges	Georges Lacombe	symbolism, impressionism	
Lacoste	Raphael	Raphael Lacoste	fantasy, landscape, dark	
Laffoley	Paul	Paul Laffoley	architecture, psychedelic	
Lagerstedt	Mikko	Mikko Lagerstedt	photography, landscape, dark, light	
Lagorio	Lev	Lev Lagorio
Lagrange	Marc	Marc Lagrange	nudity, photography,	
Lague	Mark	Mark Lague
Lalique	René	René Lalique	art deco, art nouveau	
Lam	Wifredo	Wifredo Lam	abstract, expressionism	
Land	Greg	Greg Land
Landseer	Edwin Henry	Edwin Henry Landseer	romanticism, scene	
Lange	Dorothea	Dorothea Lange
Langley	Clint	Clint Langley	comics, fantasy, digital, dark	
Langley	Walter	Walter Langley	realism, watercolor, scene	
Larionov	Mikhail	Mikhail Larionov	cubism, impressionism	
Larkin	William	William Larkin
Larraín	Sergio	Sergio Larraín	photography,	
Larraz	Julio	Julio Larraz
Larriva	John	John Larriva
Larson	Abigail	Abigail Larson	dark, whimsical, children's illustration	
Larson	Gary	Gary Larson	cartoon	
Larson	Jeffrey T.	Jeffrey T. Larson	realism, portrait, scene	
Larsson	Carl	Carl Larsson	watercolor, whimsical	
Lartigue	Jacques Henri	Jacques Henri Lartigue
Lasdun	Denys	Denys Lasdun
Lasker	Jonathan	Jonathan Lasker
Lassnig	Maria	Maria Lassnig
Lathrop	Dorothy	Dorothy Lathrop	art nouveau, children's illustration	
Lathrop	William Langson	William Langson Lathrop
Launay	Melissa	Melissa Launay
Laurencin	Marie	Marie Laurencin
Lavery	John	John Lavery	impressionism, portrait, scene	
Law	Rebecca Louise	Rebecca Louise Law	installation, flowers	
Lawlor	Jimmy	Jimmy Lawlor	surrealism, magic realism	
Lawrence	Don	Don Lawrence
Lawrence	Jacob	Jacob Lawrence	melanin, cubism, angular	
Lawrence	Thomas	Thomas Lawrence	romanticism, portrait, character	
Lawson	Ernest	Ernest Lawson	impressionism, realism, landscape, melanin	
Le Brun	Charles	Charles Le Brun	baroque, portrait, scene	
Le Fauconnier	Henri	Henri Le Fauconnier	cubism, impressionism, expressionism	
Le Parc	Julio	Julio Le Parc	vibrant, colorful, abstract, pop art	
Le Sidaner	Henri	Henri Le Sidaner
Le Sueur	Eustache	Eustache Le Sueur
Lear	Edward	Edward Lear	landscape, birds, romanticism	
Lecouffe-Deharme	Bastien	Bastien Lecouffe-Deharme	digital, dark, fantasy, character	
Ledent	Pol	Pol Ledent
Lee	Alan	Alan Lee	fantasy, realism, romanticism	
Lee	JeeYoung	JeeYoung Lee
Lee	Jim	Jim Lee	comics, detailed, character	
Lee	Minjae	Minjae Lee	portrait, surrealism	
Lee-Merrion	Harriet	Harriet Lee-Merrion	surrealism, ukiyo-e, watercolor, figurativism	
Leech	Raymond	Raymond Leech	impressionism, scene, landscape	
Leen	Nina	Nina Leen	photography, monochromatic, portait, scene	
Lefler	Heinrich	Heinrich Lefler	art nouveau, scene	
Lega	Silvestro	Silvestro Lega	realism, scene	
Leger	Fernand	Fernand Leger	abstract, cubism, vibrant	
Legg	Jeff	Jeff Legg	still life, dark	
Lehr	Paul	Paul Lehr	sci-fi, fantasy, vibrant, colorful	
Leib	Chris	Chris Leib	surrealism, realism	
Leibovitz	Annie	Annie Leibovitz	portrait, scene, photography	
Leighton	Edmund	Edmund Leighton	romanticism, scene, character	
Leighton	Frederick Lord	Frederick Lord Leighton	portrait, romanticism, scene	
Leiter	Saul	Saul Leiter
Lely	Peter	Peter Lely
Lemire	Jeff	Jeff Lemire	comics, messy	
